experiment	treatment	control	pooled	skipped	kd_gap	kd_ci	wr_gap	wr_ci	cap_gap	cap_ci	verdict	xreqs
arcraid	jordan-ctf-candidate:v30	jordan-ctf-candidate:v29	80	0	+0.0452	[-0.0290,+0.1171]	+0.100	[-0.125,+0.300]	+1	[-12,+14]	level	xreq_636729ea-b795-4674-bd01-7d3fb38e9261	xreq_c2f61cc9-d1ff-4ddd-aac9-b5abee3ac072
aimband	jordan-ctf-candidate:v31	jordan-ctf-candidate:v29	80	0	+0.0290	[-0.0432,+0.0999]	+0.150	[-0.050,+0.375]	+8	[-5,+21]	level	xreq_857e1690-cd7d-4a92-a347-4119d856879a	xreq_05759479-cb5b-4c4c-afa4-124a62e22d85
starebreak	jordan-ctf-candidate:v32	jordan-ctf-candidate:v29	80	0	-0.0035	[-0.0710,+0.0631]	-0.000	[-0.225,+0.225]	-4	[-18,+10]	level	xreq_8e549ae0-bab8-4e42-a86d-4dd73f87d2d7	xreq_14b13e18-d3fe-4b16-9390-7b3a807f83b5
nadeduck	jordan-ctf-candidate:v33	jordan-ctf-candidate:v29	80	0	+0.0300	[-0.0513,+0.1154]	-0.025	[-0.250,+0.200]	-2	[-14,+10]	level	xreq_1daa81dc-1269-4a85-a308-b2d0a01cd7de	xreq_507463b0-792b-4355-9cda-d3f86c976650
holdline	jordan-ctf-candidate:v34	jordan-ctf-candidate:v29	80	0	+0.0092	[-0.0679,+0.0870]	+0.050	[-0.175,+0.275]	-2	[-14,+10]	level	xreq_c835ea9d-0b18-45b0-b8ba-2841fb72403d	xreq_b88e1ad8-f19a-424f-aac9-ce14ffe33b3d
hurtlook	jordan-ctf-candidate:v35	jordan-ctf-candidate:v29	80	0	-0.0600	[-0.1309,+0.0104]	-0.150	[-0.375,+0.075]	-3	[-16,+10]	level	xreq_8d15e710-4def-4694-84b0-75fac94337c4	xreq_4d620ca8-d243-42de-831c-7a84fd8ebb73
crossfire	jordan-ctf-candidate:v38	jordan-ctf-candidate:v34	80	0	-0.0288	[-0.1004,+0.0461]	+0.025	[-0.200,+0.250]	+12	[-0,+24]	level	xreq_ec6ca11f-593f-4850-850c-808cb156a137	xreq_98507f33-a7fe-4fc5-8e5a-018c4def73cf
carriershy	jordan-ctf-candidate:v36	jordan-ctf-candidate:v29	80	0	-0.0161	[-0.0884,+0.0560]	-0.000	[-0.225,+0.225]	+4	[-10,+17]	level	xreq_33dde8b4-0342-4017-90a4-ca1a7aa6fa34	xreq_a720586e-b6b8-48f9-ad63-e83cb6a86802
odds	jordan-ctf-candidate:v37	jordan-ctf-candidate:v29	80	0	-0.1387	[-0.2180,-0.0605]	-0.225	[-0.425,-0.000]	+1	[-11,+14]	SEPARATES	xreq_4c0cb188-169c-432b-bb0c-a7dfc26e8611	xreq_388ddd6d-b6a6-4b08-ae38-4b467a67e549
holdeven	jordan-ctf-candidate:v39	jordan-ctf-candidate:v34	80	0	+0.1087	[+0.0299,+0.1893]	+0.200	[-0.025,+0.400]	-4	[-13,+5]	SEPARATES	xreq_fb876711-8dd8-4d42-b4ca-a49ef0e5b4c5	xreq_10e5cf9f-2dff-4758-a8cc-b2209bcc55ee
shoutseen	jordan-ctf-candidate:v41	jordan-ctf-candidate:v40	80	0	-0.0415	[-0.1197,+0.0345]	+0.025	[-0.200,+0.250]	-0	[-13,+13]	level	xreq_5ef4c03f-c02c-4bc7-9183-adb5dc7ce2ee	xreq_2dddd8de-f0a7-4218-b87e-600ffade8dd3
spawnintel	jordan-ctf-candidate:v42	jordan-ctf-candidate:v41	80	0	-0.0070	[-0.0830,+0.0693]	-0.150	[-0.375,+0.075]	-2	[-14,+10]	level	xreq_42276da0-c8ce-41c8-8820-976c3fa79734	xreq_086b42b8-9e16-4199-a58b-23ad4e0b8ea4
shoutintel	jordan-ctf-candidate:v41	jordan-ctf-candidate:v29	160	0	-0.0385	[-0.0909,+0.0138]	-0.100	[-0.250,+0.050]	-3	[-21,+15]	level	xreq_8b478c34-055e-4d35-8e5b-de66ae797c5e xreq_7da11fb8-1d8a-4bf7-aaa8-39d7a1060ad6 xreq_28f665d5-a254-4e05-a9f5-964f693ab602 xreq_b457a9b6-a311-4dc3-8ff4-1f9d79b909d8
holdevenVsChamp	jordan-ctf-candidate:v39	jordan-ctf-candidate:v29	160	0	+0.0826	[+0.0275,+0.1357]	+0.113	[-0.050,+0.263]	-17	[-33,-1]	SEPARATES	xreq_9b788bf7-bdad-417c-9bdd-a830de25c67f xreq_ad2d8b7e-1a3b-4cb4-9cd3-a31afcf7728b xreq_f148bcae-730c-4b6b-9da9-0399053060dc xreq_198f5880-69c8-4938-b739-d794415579df
allfeatures	jordan-ctf-candidate:v43	jordan-ctf-candidate:v29	80	0	-0.1838	[-0.2680,-0.1009]	-0.375	[-0.575,-0.175]	-7	[-20,+5]	SEPARATES	xreq_c2254927-59f2-4499-bfd3-d115a19f27c9 xreq_926e6b8c-b7ce-496d-b45c-21a40cc6849f
