ctrl	ctf-plain	jordan-ctf-candidate:v29
arcraid	ctf-plain	jordan-ctf-candidate:v30
aimband	ctf-plain	jordan-ctf-candidate:v31
starebreak	ctf-plain	jordan-ctf-candidate:v32
nadeduck	ctf-plain	jordan-ctf-candidate:v33
holdline	ctf-plain	jordan-ctf-candidate:v34
hurtlook	ctf-plain	jordan-ctf-candidate:v35
carriershy	ctf-plain	jordan-ctf-candidate:v36
odds	ctf-plain	jordan-ctf-candidate:v37
crossfire	ctf-plain	jordan-ctf-candidate:v38
holdeven	ctf-plain	jordan-ctf-candidate:v39
shoutctrl	ctf-shout	jordan-ctf-candidate:v40
shoutseen	ctf-shout	jordan-ctf-candidate:v41
shoutspawn	ctf-shout	jordan-ctf-candidate:v42
allfeatures	ctf-shout	jordan-ctf-candidate:v43
